ts,open,high,low,close,volume
1741305600000,89899.6,91279.5,89832.0,90182.7,4020.001
1741306500000,90182.7,90391.3,86507.6,86989.3,17948.365
1741307400000,86989.3,87222.5,85517.3,85877.2,7320.575
1741308300000,85877.2,85877.2,84594.7,85485.4,7512.892
1741309200000,85485.4,86529.1,85148.3,86469.1,4676.707
1741310100000,86469.1,87574.5,86331.8,87073.0,5099.58
1741311000000,87073.0,88888.0,86766.6,88661.2,5711.957
1741311900000,88661.2,88703.5,87716.0,88212.6,3244.962
1741312800000,88212.6,88428.0,87835.8,87973.6,1161.069
1741313700000,87973.6,88101.3,87308.2,87481.8,1960.978
1741314600000,87481.8,88203.6,87379.1,87806.0,2030.194
1741315500000,87806.0,87920.0,87183.6,87203.8,1673.796
1741316400000,87203.8,87657.8,87111.1,87540.6,1139.925
1741317300000,87540.6,87599.0,87269.6,87528.6,542.521
1741318200000,87528.6,87572.1,86916.7,87122.7,1370.937
1741319100000,87122.7,87129.9,86740.6,86952.3,1271.537
1741320000000,86952.3,87218.0,86806.9,87172.0,768.757
1741320900000,87172.0,87534.6,87082.2,87465.7,674.859
1741321800000,87465.7,87811.9,87361.0,87647.8,964.358
1741322700000,87647.8,87843.9,87513.9,87591.8,699.349
1741323600000,87591.8,88000.0,87542.2,87812.0,731.515
1741324500000,87812.0,88333.6,87812.0,88190.6,874.879
1741325400000,88190.6,88333.0,88017.8,88330.4,848.413
1741326300000,88330.4,88412.3,88087.2,88191.4,882.962
1741327200000,88191.4,88200.0,87951.3,88067.8,669.03
1741328100000,88067.8,88175.9,87917.9,87998.1,533.375
1741329000000,87998.1,88072.3,87760.5,87860.0,675.438
1741329900000,87860.0,88325.7,87856.6,88185.9,968.603
1741330800000,88185.9,88595.9,88070.3,88503.5,925.355
1741331700000,88503.5,88561.4,88375.5,88427.6,594.53
1741332600000,88427.6,88459.9,88105.3,88185.0,784.943
1741333500000,88185.0,88344.9,88140.8,88324.2,685.074
1741334400000,88324.2,88395.0,87957.4,88163.7,786.175
1741335300000,88163.7,88196.4,87964.8,88111.3,323.097
1741336200000,88111.3,88149.6,87982.0,88145.7,241.963
1741337100000,88145.7,88470.6,88043.4,88325.0,808.994
1741338000000,88325.0,88635.0,88316.7,88624.3,513.44
1741338900000,88624.3,89257.2,88461.9,89240.0,1850.495
1741339800000,89240.0,89678.3,88875.1,88905.2,2284.056
1741340700000,88905.2,89173.1,88831.8,88899.9,775.446
1741341600000,88899.9,88999.3,88708.7,88915.8,807.444
1741342500000,88915.8,89108.8,88792.0,88996.5,587.219
1741343400000,88996.5,89226.0,88959.5,89079.8,447.028
1741344300000,89079.8,89250.0,89079.4,89218.5,363.337
1741345200000,89218.5,89417.0,88991.8,89110.1,774.036
1741346100000,89110.1,89330.1,89058.8,89068.8,515.447
1741347000000,89068.8,89072.9,88933.8,88993.5,515.675
1741347900000,88993.5,89048.8,88720.5,88946.6,900.498
1741348800000,88946.6,89232.8,88800.0,89160.8,702.963
1741349700000,89160.8,89178.1,88922.6,89146.9,683.39
1741350600000,89146.9,89292.7,88272.7,88439.5,2277.861
1741351500000,88439.5,89128.3,88439.4,89040.0,1881.256
