ts,open,high,low,close,volume
1752192000000,115990.1,118849.9,115200.0,117508.8,92888.869
1752278400000,117508.8,118195.1,116868.1,117369.9,35256.029
1752364800000,117369.9,119474.9,117173.3,119050.2,47572.067
1752451200000,119050.2,123250.0,118859.2,119841.6,118965.787
1752537600000,119841.6,119946.6,115750.0,117745.7,144316.061
1752624000000,117745.7,120114.6,117031.0,118626.3,86278.939
1752710400000,118626.3,121044.0,117449.9,119218.7,94471.66
1752796800000,119218.7,120896.9,116822.1,117930.1,90803.176
1752883200000,117930.1,118523.7,117237.7,117842.1,30379.068
1752969600000,117842.1,118931.0,116455.6,117290.4,46146.275
1753056000000,117290.4,119750.0,116550.0,117393.0,80482.629
1753142400000,117393.0,120321.0,116123.0,120043.6,89928.602
1753228800000,120043.6,120194.7,117300.0,118743.4,74281.008
1753315200000,118743.4,119492.9,117050.1,118328.0,68946.07
1753401600000,118328.0,118440.3,114710.0,117616.3,121212.765
1753488000000,117616.3,118333.4,117150.0,117898.8,26231.01
1753574400000,117898.8,119784.0,117807.6,119429.9,35559.539
1753660800000,119429.9,119844.9,117401.5,118068.9,55237.02
1753747200000,118068.9,119300.0,116912.6,117923.3,61582.533
1753833600000,117923.3,118769.0,115738.1,117781.6,68324.83
1753920000000,117781.6,118900.0,115368.6,115680.1,71369.061
1754006400000,115680.1,115999.9,112692.8,113248.9,122881.108
1754092800000,113248.9,114011.4,111950.0,112518.0,53096.153
1754179200000,112518.0,114792.7,111870.0,114147.1,36201.245
1754265600000,114147.1,115682.8,114061.7,115006.0,55001.687
1754352000000,115006.0,115084.2,112577.7,114079.6,66934.383
1754438400000,114079.6,115666.3,113300.2,114943.0,51553.133
1754524800000,114943.0,117560.0,114218.0,117399.9,69455.06
1754611200000,117399.9,117569.1,115854.2,116625.1,44173.42
1754697600000,116625.1,117900.0,116288.2,116406.2,40916.287
1754784000000,116406.2,119433.6,116400.0,119271.8,68471.849
1754870400000,119271.8,122421.0,117855.3,118679.2,122225.839
1754956800000,118679.2,120280.0,118150.0,120090.5,79229.258
1755043200000,120090.5,123742.2,118900.5,123348.0,113952.074
1755129600000,123348.0,124571.2,117117.0,118250.1,143284.437
1755216000000,118250.1,119208.0,116719.3,117280.8,65940.355
1755302400000,117280.8,117857.2,117069.7,117327.7,20031.882
1755388800000,117327.7,118585.7,117101.0,117355.6,26594.528
1755475200000,117355.6,117509.6,114577.7,116168.0,75509.463
1755561600000,116168.0,116681.9,112673.0,112825.7,78511.182
1755648000000,112825.7,114567.0,112286.8,114217.4,65974.754
1755734400000,114217.4,114783.7,111945.2,112462.7,56416.961
1755820800000,112462.7,117374.5,111618.8,116899.8,110849.704
1755907200000,116899.8,116998.0,114504.7,115404.8,40974.686
1755993600000,115404.8,115656.7,110551.0,113474.8,77200.189
1756080000000,113474.8,113649.9,109222.6,110069.7,115780.293
1756166400000,110069.7,112342.4,108669.0,111723.1,77734.568
1756252800000,111723.1,112589.9,110312.1,111184.3,63118.555
1756339200000,111184.3,113433.0,110781.5,112511.4,53956.782
1756425600000,112511.4,112616.4,107432.6,108355.3,95552.618
1756512000000,108355.3,108902.3,107300.0,108780.7,29253.799
1756598400000,108780.7,109444.0,108008.4,108200.0,36717.604
1756684800000,108200.0,109872.8,107202.0,109191.8,80073.654
1756771200000,109191.8,111730.0,108320.7,111217.7,88135.331
1756857600000,111217.7,112557.0,110476.8,111661.8,56594.776
1756944000000,111661.8,112138.3,109276.7,110685.5,69781.744
1757030400000,110685.5,113369.4,110155.0,110623.1,113076.839
1757116800000,110623.1,111258.0,109888.0,110131.5,22349.372
1757203200000,110131.5,111558.0,110119.4,111086.7,26731.491
1757289600000,111086.7,112871.4,110555.3,112011.3,56300.974
1757376000000,112011.3,113238.1,110706.4,111500.0,75941.704
1757462400000,111500.0,114250.0,110865.0,113890.0,80341.441
1757548800000,113890.0,115446.1,113242.0,115440.1,73519.99
1757635200000,115440.1,116600.0,114700.8,115972.0,67336.242
1757721600000,115972.0,116222.0,114978.2,115849.6,35073.515
1757808000000,115849.6,116117.8,115060.1,115214.4,34689.23
1757894400000,115214.4,116761.3,114316.3,115315.6,71614.932
1757980800000,115315.6,116947.3,114688.0,116748.9,58734.634
1758067200000,116748.9,117239.5,114710.0,116400.2,90856.98
1758153600000,116400.2,117884.0,115980.1,117023.5,63019.994
1758240000000,117023.5,117417.6,115035.0,115572.9,47422.389
1758326400000,115572.9,116093.6,115360.0,115628.9,16833.046
1758412800000,115628.9,115779.6,115117.3,115173.4,19906.337
1758499200000,115173.4,115340.2,111500.0,112600.7,95970.115
1758585600000,112600.7,113247.1,111350.7,111937.5,58055.901
1758672000000,111937.5,113900.0,110904.2,113255.5,58452.381
1758758400000,113255.5,113457.3,108560.0,108931.3,106454.852
1758844800000,108931.3,110255.6,108550.0,109592.1,61072.185
1758931200000,109592.1,109710.9,108988.0,109585.6,19515.907
1759017600000,109585.6,112345.9,109133.8,112133.5,38896.534
1759104000000,112133.5,114377.1,111487.2,114251.4,61563.487
1759190400000,114251.4,114825.7,112603.9,114013.8,65002.37
1759276800000,114013.8,118644.0,113913.8,118555.4,90724.436
1759363200000,118555.4,120994.2,118202.7,120484.0,92986.891
1759449600000,120484.0,123858.6,119160.0,122180.2,102149.043
1759536000000,122180.2,122767.7,121472.9,122359.3,33690.204
1759622400000,122359.3,125849.7,122082.6,123447.9,103289.951
1759708800000,123447.9,126150.0,122989.1,124606.1,89136.383
1759795200000,124606.1,125114.2,120545.0,121299.4,111549.498
1759881600000,121299.4,124162.5,121000.0,123245.3,80807.834
1759968000000,123245.3,123733.9,119574.0,121603.0,101478.669
1760054400000,121603.0,122490.0,101045.9,112732.5,269200.998
1760140800000,112732.5,113279.8,109453.4,110599.9,88160.921
1760227200000,110599.9,115749.0,109503.2,114908.5,98366.647
1760313600000,114908.5,115950.6,113526.4,115116.7,80650.448
1760400000000,115116.7,115370.5,109800.0,112972.1,140407.469
1760486400000,112972.1,113590.0,110072.8,110705.3,78436.584
1760572800000,110705.3,111962.3,107362.1,108137.8,111060.154
1760659200000,108137.8,109199.3,103437.4,106364.6,131510.936
1760745600000,106364.6,107476.5,106259.7,107122.2,31438.438
1760832000000,107122.2,109434.5,106060.3,108597.3,54161.509
1760918400000,108597.3,111692.3,107373.7,110490.0,83190.472
1761004800000,110490.0,114000.0,107412.1,108240.1,152354.306
1761091200000,108240.1,109273.7,106588.0,107522.8,110963.34
1761177600000,107522.8,111272.4,107456.7,110015.0,83304.981
1761264000000,110015.0,112162.2,109603.4,110964.7,72850.415
1761350400000,110964.7,111935.8,110618.8,111587.5,25005.408
1761436800000,111587.5,115583.0,111187.8,114498.3,51419.599
1761523200000,114498.3,116373.3,113777.3,114061.3,64691.2
1761609600000,114061.3,116060.5,112112.0,112836.0,90044.271
1761696000000,112836.0,113598.0,109056.2,109948.8,108084.214
1761782400000,109948.8,111571.9,106225.0,108261.7,127594.01
1761868800000,108261.7,111147.0,108223.0,109546.7,79875.841
1761955200000,109546.7,110537.2,109333.0,110046.0,23460.006
1762041600000,110046.0,111200.0,109433.0,110493.5,29980.136
1762128000000,110493.5,110721.3,105178.2,106536.4,100347.587
1762214400000,106536.4,107266.7,98888.1,101441.9,142943.049
1762300800000,101441.9,104500.0,98894.6,103835.2,83725.95
1762387200000,103835.2,104167.0,100234.5,101296.2,83573.988
1762473600000,101296.2,104047.6,99201.8,103300.5,87394.757
1762560000000,103300.5,103378.7,101408.7,102268.6,33173.151
1762646400000,102268.6,105442.9,101237.3,104665.0,56192.634
1762732800000,104665.0,106634.8,104211.6,105969.5,65671.48
1762819200000,105969.5,107481.0,102420.5,103009.7,73652.259
1762905600000,103009.7,105316.9,100741.8,101595.6,81501.003
1762992000000,101595.6,104031.9,97931.0,99629.0,123060.242
1763078400000,99629.0,99901.5,93905.9,94533.3,137799.663
1763164800000,94533.3,96777.0,94511.7,95559.1,42212.279
1763251200000,95559.1,96594.9,92920.1,94215.9,65390.354
1763337600000,94215.9,96046.2,91227.7,92171.4,106744.646
1763424000000,92171.4,93800.0,89243.1,92925.0,125238.423
1763510400000,92925.0,92950.0,88571.6,91509.0,118198.838
1763596800000,91509.0,93150.0,86050.2,86583.0,142756.739
1763683200000,86583.0,87460.0,80607.9,85097.1,222074.874
1763769600000,85097.1,85592.2,83457.5,84701.5,45817.411
1763856000000,84701.5,88082.9,84633.0,86802.8,69171.284
1763942400000,86802.8,89172.2,85211.1,88240.1,113846.574
1764028800000,88240.1,88496.0,86050.0,87315.5,85998.202
1764115200000,87315.5,90649.9,86252.6,90427.0,79837.957
1764201600000,90427.0,91902.7,90025.0,91284.2,56827.705
1764288000000,91284.2,93081.0,90151.9,90845.7,74905.564
1764374400000,90845.7,91128.9,90071.3,90766.9,28853.08
1764460800000,90766.9,91963.7,90285.5,90308.6,33467.119
1764547200000,90308.6,90374.4,83755.3,86244.1,141902.373
1764633600000,86244.1,92298.9,86148.4,91241.7,108532.27
1764720000000,91241.7,94189.4,90945.0,93390.1,103084.143
1764806400000,93390.1,94058.1,90800.0,92031.8,74715.023
1764892800000,92031.8,92658.3,88002.1,89273.7,92767.001
1764979200000,89273.7,90234.6,88860.0,89185.4,28467.679
1765065600000,89185.4,91726.2,87680.0,90335.4,66491.321
1765152000000,90335.4,92261.9,89567.7,90598.0,68987.689
1765238400000,90598.0,94550.0,89406.7,92636.1,87332.829
1765324800000,92636.1,94457.8,91484.6,91971.7,77498.127
1765411200000,91971.7,93544.9,89198.9,92483.7,92013.209
1765497600000,92483.7,92730.0,89416.7,90230.9,69090.943
1765584000000,90230.9,90589.8,89712.7,90186.4,18512.335
1765670400000,90186.4,90440.7,87521.9,88116.0,44559.06
1765756800000,88116.0,89986.0,85080.0,86391.7,99477.322
1765843200000,86391.7,88149.6,85222.0,87821.3,80200.563
