ts,date,direction,status,rr_ratio,pnl_pct,pnl_usd,fee_usd,balance,pos_size_usd,leverage,reasoning
1767510000000.0,2026-01-04 07:00,SHORT,LOSS,3.96,-0.9037,-122.13,22.13,9877.87,11066.0,1.1,"ГЛАВНЫЙ: Импульс (15m). Рассмотрено параллельно: Импульс(15m), Треугольник(5m), Импульс(5m), Диагональ(1d). Альтернатива: Треугольник БЫЧИЙ на 5m (100..."
1767571200000.0,2026-01-05 00:00,SHORT,CANCELLED,3.97,0.0,0.0,0.0,9877.87,10954.0,1.1,"ГЛАВНЫЙ: Импульс (15m). Рассмотрено параллельно: Импульс(15m), Диагональ(1d), Диагональ(1d), Диагональ(15m). Альтернатива: Диагональ БЫЧИЙ на 1d (95%)..."
1767574800000.0,2026-01-05 01:00,SHORT,CANCELLED,3.94,0.0,0.0,0.0,9877.87,10891.0,1.1,"ГЛАВНЫЙ: Импульс (15m). Рассмотрено параллельно: Импульс(15m), Диагональ(1d), Диагональ(1d), Диагональ(4h). Альтернатива: Диагональ БЫЧИЙ на 1d (95%)...."
1767578400000.0,2026-01-05 02:00,SHORT,CANCELLED,3.92,0.0,0.0,0.0,9877.87,10832.0,1.1,"ГЛАВНЫЙ: Импульс (15m). Рассмотрено параллельно: Импульс(15m), Диагональ(1d), Диагональ(1d), Диагональ(4h). Альтернатива: Диагональ БЫЧИЙ на 1d (95%)...."
1767582000000.0,2026-01-05 03:00,SHORT,CANCELLED,3.92,0.0,0.0,0.0,9877.87,10839.0,1.1,"ГЛАВНЫЙ: Импульс (15m). Рассмотрено параллельно: Импульс(15m), Диагональ(1d), Диагональ(1d), Диагональ(4h). Альтернатива: Диагональ БЫЧИЙ на 1d (95%)...."
1767585600000.0,2026-01-05 04:00,SHORT,CANCELLED,3.93,0.0,0.0,0.0,9877.87,10869.0,1.1,"ГЛАВНЫЙ: Импульс (15m). Рассмотрено параллельно: Импульс(15m), Диагональ(1d), Диагональ(1d), Диагональ(4h). Альтернатива: Диагональ БЫЧИЙ на 1d (95%)...."
1767589200000.0,2026-01-05 05:00,SHORT,CANCELLED,3.93,0.0,0.0,0.0,9877.87,10867.0,1.1,"ГЛАВНЫЙ: Импульс (15m). Рассмотрено параллельно: Импульс(15m), Диагональ(1d), Диагональ(1d), Диагональ(4h). Альтернатива: Диагональ БЫЧИЙ на 1d (95%)...."
1767592800000.0,2026-01-05 06:00,SHORT,CANCELLED,3.94,0.0,0.0,0.0,9877.87,10889.0,1.1,"ГЛАВНЫЙ: Импульс (15m). Рассмотрено параллельно: Импульс(15m), Диагональ(1d), Диагональ(1d), Диагональ(4h). Альтернатива: Диагональ БЫЧИЙ на 1d (95%)...."
1767596400000.0,2026-01-05 07:00,SHORT,CANCELLED,3.95,0.0,0.0,0.0,9877.87,10899.0,1.1,"ГЛАВНЫЙ: Импульс (15m). Рассмотрено параллельно: Импульс(15m), Диагональ(1d), Диагональ(1d), Диагональ(4h). Альтернатива: Диагональ БЫЧИЙ на 1d (95%)...."
1767600000000.0,2026-01-05 08:00,SHORT,CANCELLED,3.96,0.0,0.0,0.0,9877.87,10933.0,1.1,"ГЛАВНЫЙ: Импульс (15m). Рассмотрено параллельно: Импульс(15m), Диагональ(1d), Диагональ(1d), Диагональ(4h). Альтернатива: Диагональ БЫЧИЙ на 1d (95%)...."
