ts,date,direction,status,rr_ratio,pnl_pct,pnl_usd,fee_usd,balance,pos_size_usd,leverage,reasoning
1770422400000.0,2026-02-07 00:00,SHORT,LOSS,2.72,-2.8194,-107.09,7.09,9892.91,3547.0,0.4,"ГЛАВНЫЙ: Импульс (15m). Рассмотрено параллельно: Импульс(15m), Двойной Зигзаг (W-X-Y)(1d), Двойной Зигзаг (W-X-Y)(1d), Двойной Зигзаг (W-X-Y)(4h). Аль..."
1771689600000.0,2026-02-21 16:00,SHORT,CANCELLED,4.05,0.0,0.0,0.0,9892.91,29512.0,3.0,"ГЛАВНЫЙ: Зигзаг (5m). Рассмотрено параллельно: Треугольник(1d), Треугольник(15m), Двойной Зигзаг (W-X-Y)(4h), Зигзаг(1h). Альтернатива: Треугольник МЕ..."
1771693200000.0,2026-02-21 17:00,SHORT,CANCELLED,4.05,0.0,0.0,0.0,9892.91,29512.0,3.0,"ГЛАВНЫЙ: Зигзаг (5m). Рассмотрено параллельно: Треугольник(1d), Треугольник(15m), Двойной Зигзаг (W-X-Y)(4h), Зигзаг(1h). Альтернатива: Треугольник МЕ..."
1772632800000.0,2026-03-04 14:00,SHORT,CANCELLED,2.83,0.0,0.0,0.0,9892.91,6882.0,0.7,"ГЛАВНЫЙ: Зигзаг (5m). Рассмотрено параллельно: Зигзаг(1h), Двойной Зигзаг (W-X-Y)(1d), Плоскость (Обычная)(15m), Плоскость (Обычная)(5m). Альтернатива..."
1772758800000.0,2026-03-06 01:00,LONG,CANCELLED,2.6,0.0,0.0,0.0,9892.91,9366.0,0.9,"ГЛАВНЫЙ: Зигзаг (5m). Рассмотрено параллельно: Зигзаг(4h), Двойной Зигзаг (W-X-Y)(4h), Двойной Зигзаг (W-X-Y)(4h), Зигзаг(4h). Альтернатива: Двойной З..."
