ts,date,direction,status,rr_ratio,pnl_pct,pnl_usd,fee_usd,balance,pos_size_usd,leverage,reasoning
1768755600000.0,2026-01-18 17:00,SHORT,CANCELLED,2.79,0.0,0.0,0.0,10000.0,17348.0,1.7,"ГЛАВНЫЙ: Диагональ (1h). Рассмотрено параллельно: Двойной Зигзаг (W-X-Y)(1d), Диагональ(1h), Диагональ(15m), Двойной Зигзаг (W-X-Y)(1d). Альтернатива:..."
1768759200000.0,2026-01-18 18:00,SHORT,CANCELLED,2.79,0.0,0.0,0.0,10000.0,17348.0,1.7,"ГЛАВНЫЙ: Диагональ (1h). Рассмотрено параллельно: Двойной Зигзаг (W-X-Y)(1d), Диагональ(1h), Диагональ(15m), Двойной Зигзаг (W-X-Y)(1d). Альтернатива:..."
1768762800000.0,2026-01-18 19:00,SHORT,CANCELLED,2.79,0.0,0.0,0.0,10000.0,17348.0,1.7,"ГЛАВНЫЙ: Диагональ (1h). Рассмотрено параллельно: Двойной Зигзаг (W-X-Y)(1d), Диагональ(1h), Диагональ(15m), Двойной Зигзаг (W-X-Y)(1d). Альтернатива:..."
1768766400000.0,2026-01-18 20:00,SHORT,CANCELLED,2.79,0.0,0.0,0.0,10000.0,17348.0,1.7,"ГЛАВНЫЙ: Диагональ (1h). Рассмотрено параллельно: Двойной Зигзаг (W-X-Y)(1d), Диагональ(1h), Диагональ(15m), Двойной Зигзаг (W-X-Y)(1d). Альтернатива:..."
1769594400000.0,2026-01-28 10:00,LONG,LOSS,3.05,-0.5401,-137.03,37.03,9862.97,18514.0,1.9,"ГЛАВНЫЙ: Диагональ (5m). Рассмотрено параллельно: Диагональ(4h), Диагональ(4h), Диагональ(1h), Двойной Зигзаг (W-X-Y)(4h). Альтернатива: Диагональ БЫЧ..."
1769842800000.0,2026-01-31 07:00,LONG,CANCELLED,12.09,0.0,0.0,0.0,9862.97,14731.0,1.5,"ГЛАВНЫЙ: Диагональ (5m). Рассмотрено параллельно: Диагональ(1d), Двойной Зигзаг (W-X-Y)(15m), Зигзаг(5m), Диагональ(4h). Альтернатива: Двойной Зигзаг ..."
1769846400000.0,2026-01-31 08:00,LONG,CANCELLED,8.53,0.0,0.0,0.0,9862.97,10400.0,1.1,"ГЛАВНЫЙ: Диагональ (5m). Рассмотрено параллельно: Диагональ(4h), Диагональ(15m), Диагональ(5m), Диагональ(1d). Альтернатива: Диагональ МЕДВЕЖИЙ на 15m..."
1771052400000.0,2026-02-14 07:00,LONG,LOSS,6.42,-0.4794,-139.78,41.15,9723.2,20573.0,2.1,"ГЛАВНЫЙ: Диагональ (5m). Рассмотрено параллельно: Зигзаг(4h), Двойной Зигзаг (W-X-Y)(1h), Зигзаг(5m), Диагональ(1h). Альтернатива: Двойной Зигзаг (W-X..."
1771315200000.0,2026-02-17 08:00,SHORT,LOSS,4.5,-0.9858,-116.96,19.73,9606.24,9864.0,1.0,"ГЛАВНЫЙ: Диагональ (15m). Рассмотрено параллельно: Зигзаг(4h), Двойной Зигзаг (W-X-Y)(1h), Зигзаг(1h), Плоскость (Обычная)(1h). Альтернатива: Двойной ..."
1772632800000.0,2026-03-04 14:00,SHORT,CANCELLED,2.83,0.0,0.0,0.0,9606.24,6683.0,0.7,"ГЛАВНЫЙ: Зигзаг (5m). Рассмотрено параллельно: Зигзаг(1h), Диагональ(1d), Двойной Зигзаг (W-X-Y)(1d), Зигзаг(1d). Альтернатива: Диагональ МЕДВЕЖИЙ на ..."
1772758800000.0,2026-03-06 01:00,LONG,CANCELLED,2.6,0.0,0.0,0.0,9606.24,9095.0,0.9,"ГЛАВНЫЙ: Зигзаг (5m). Рассмотрено параллельно: Зигзаг(4h), Двойной Зигзаг (W-X-Y)(4h), Диагональ(4h), Двойной Зигзаг (W-X-Y)(4h). Альтернатива: Двойно..."
1772827200000.0,2026-03-06 20:00,SHORT,CANCELLED,4.43,0.0,0.0,0.0,9606.24,11021.0,1.1,"ГЛАВНЫЙ: Диагональ (5m). Рассмотрено параллельно: Зигзаг(4h), Двойной Зигзаг (W-X-Y)(4h), Диагональ(4h), Диагональ(15m). Альтернатива: Двойной Зигзаг ..."
1772830800000.0,2026-03-06 21:00,SHORT,CANCELLED,4.62,0.0,0.0,0.0,9606.24,11485.0,1.2,"ГЛАВНЫЙ: Диагональ (5m). Рассмотрено параллельно: Зигзаг(4h), Двойной Зигзаг (W-X-Y)(4h), Диагональ(4h), Диагональ(15m). Альтернатива: Двойной Зигзаг ..."
1772834400000.0,2026-03-06 22:00,SHORT,CANCELLED,4.62,0.0,0.0,0.0,9606.24,11485.0,1.2,"ГЛАВНЫЙ: Диагональ (5m). Рассмотрено параллельно: Зигзаг(4h), Двойной Зигзаг (W-X-Y)(4h), Диагональ(4h), Диагональ(15m). Альтернатива: Двойной Зигзаг ..."
