ts,date,direction,status,rr_ratio,pnl_pct,pnl_usd,fee_usd,balance,pos_size_usd,leverage,reasoning
1767510000000.0,2026-01-04 07:00,SHORT,LOSS,3.99,-0.8993,-122.24,22.24,9877.76,11120.0,1.1,"ГЛАВНЫЙ: Импульс (15m). Рассмотрено параллельно: Импульс(15m), Треугольник(5m), Импульс(5m), Диагональ(1d). Альтернатива: Треугольник БЫЧИЙ на 5m (100..."
1767571200000.0,2026-01-05 00:00,SHORT,CANCELLED,3.99,0.0,0.0,0.0,9877.76,11001.0,1.1,"ГЛАВНЫЙ: Импульс (15m). Рассмотрено параллельно: Импульс(15m), Диагональ(1d), Диагональ(1d), Диагональ(15m). Альтернатива: Диагональ БЫЧИЙ на 1d (95%)..."
1767574800000.0,2026-01-05 01:00,SHORT,CANCELLED,3.97,0.0,0.0,0.0,9877.76,10955.0,1.1,"ГЛАВНЫЙ: Импульс (15m). Рассмотрено параллельно: Импульс(15m), Диагональ(1d), Диагональ(1d), Диагональ(4h). Альтернатива: Диагональ БЫЧИЙ на 1d (95%)...."
1767578400000.0,2026-01-05 02:00,SHORT,CANCELLED,3.95,0.0,0.0,0.0,9877.76,10913.0,1.1,"ГЛАВНЫЙ: Импульс (15m). Рассмотрено параллельно: Импульс(15m), Диагональ(1d), Диагональ(1d), Диагональ(4h). Альтернатива: Диагональ БЫЧИЙ на 1d (95%)...."
1767582000000.0,2026-01-05 03:00,SHORT,CANCELLED,3.96,0.0,0.0,0.0,9877.76,10918.0,1.1,"ГЛАВНЫЙ: Импульс (15m). Рассмотрено параллельно: Импульс(15m), Диагональ(1d), Диагональ(1d), Диагональ(4h). Альтернатива: Диагональ БЫЧИЙ на 1d (95%)...."
1767585600000.0,2026-01-05 04:00,SHORT,CANCELLED,3.97,0.0,0.0,0.0,9877.76,10939.0,1.1,"ГЛАВНЫЙ: Импульс (15m). Рассмотрено параллельно: Импульс(15m), Диагональ(1d), Диагональ(1d), Диагональ(4h). Альтернатива: Диагональ БЫЧИЙ на 1d (95%)...."
1767589200000.0,2026-01-05 05:00,SHORT,CANCELLED,3.96,0.0,0.0,0.0,9877.76,10938.0,1.1,"ГЛАВНЫЙ: Импульс (15m). Рассмотрено параллельно: Импульс(15m), Диагональ(1d), Диагональ(1d), Диагональ(4h). Альтернатива: Диагональ БЫЧИЙ на 1d (95%)...."
1767592800000.0,2026-01-05 06:00,SHORT,CANCELLED,3.97,0.0,0.0,0.0,9877.76,10954.0,1.1,"ГЛАВНЫЙ: Импульс (15m). Рассмотрено параллельно: Импульс(15m), Диагональ(1d), Диагональ(1d), Диагональ(4h). Альтернатива: Диагональ БЫЧИЙ на 1d (95%)...."
1767596400000.0,2026-01-05 07:00,SHORT,CANCELLED,3.98,0.0,0.0,0.0,9877.76,10961.0,1.1,"ГЛАВНЫЙ: Импульс (15m). Рассмотрено параллельно: Импульс(15m), Диагональ(1d), Диагональ(1d), Диагональ(4h). Альтернатива: Диагональ БЫЧИЙ на 1d (95%)...."
1767600000000.0,2026-01-05 08:00,SHORT,CANCELLED,3.99,0.0,0.0,0.0,9877.76,10986.0,1.1,"ГЛАВНЫЙ: Импульс (15m). Рассмотрено параллельно: Импульс(15m), Диагональ(1d), Диагональ(1d), Диагональ(4h). Альтернатива: Диагональ БЫЧИЙ на 1d (95%)...."
