ts,date,direction,status,rr_ratio,pnl_pct,pnl_usd,fee_usd,balance,pos_size_usd,leverage,reasoning
1767225600000.0,2026-01-01 00:00,SHORT,CANCELLED,2.6,0.0,0.0,0.0,10000.0,832.0,0.1,"ГЛАВНЫЙ: Зигзаг (1d). Рассмотрено параллельно: Зигзаг(1d), Диагональ(1d), Двойной Зигзаг (W-X-Y)(1d), Двойной Зигзаг (W-X-Y)(1h). Альтернатива: Диагон..."
1767229200000.0,2026-01-01 01:00,SHORT,CANCELLED,2.6,0.0,0.0,0.0,10000.0,832.0,0.1,"ГЛАВНЫЙ: Зигзаг (1d). Рассмотрено параллельно: Зигзаг(1d), Зигзаг(15m), Диагональ(1d), Диагональ(1d). Альтернатива: Зигзаг БЫЧИЙ на 15m (90%). Математ..."
1767232800000.0,2026-01-01 02:00,SHORT,CANCELLED,2.6,0.0,0.0,0.0,10000.0,832.0,0.1,"ГЛАВНЫЙ: Зигзаг (1d). Рассмотрено параллельно: Зигзаг(1d), Двойной Зигзаг (W-X-Y)(1h), Диагональ(1d), Диагональ(5m). Альтернатива: Двойной Зигзаг (W-X..."
1767236400000.0,2026-01-01 03:00,SHORT,CANCELLED,2.6,0.0,0.0,0.0,10000.0,832.0,0.1,"ГЛАВНЫЙ: Зигзаг (1d). Рассмотрено параллельно: Зигзаг(1d), Двойной Зигзаг (W-X-Y)(1h), Диагональ(1d), Диагональ(5m). Альтернатива: Двойной Зигзаг (W-X..."
1767240000000.0,2026-01-01 04:00,SHORT,CANCELLED,2.6,0.0,0.0,0.0,10000.0,832.0,0.1,"ГЛАВНЫЙ: Зигзаг (1d). Рассмотрено параллельно: Зигзаг(1d), Двойной Зигзаг (W-X-Y)(1h), Диагональ(1d), Диагональ(5m). Альтернатива: Двойной Зигзаг (W-X..."
1767243600000.0,2026-01-01 05:00,SHORT,CANCELLED,2.6,0.0,0.0,0.0,10000.0,832.0,0.1,"ГЛАВНЫЙ: Зигзаг (1d). Рассмотрено параллельно: Зигзаг(1d), Диагональ(1d), Диагональ(5m), Двойной Зигзаг (W-X-Y)(1d). Альтернатива: Диагональ МЕДВЕЖИЙ ..."
1767247200000.0,2026-01-01 06:00,SHORT,CANCELLED,2.6,0.0,0.0,0.0,10000.0,832.0,0.1,"ГЛАВНЫЙ: Зигзаг (1d). Рассмотрено параллельно: Зигзаг(1d), Диагональ(1d), Диагональ(5m), Двойной Зигзаг (W-X-Y)(1d). Альтернатива: Диагональ МЕДВЕЖИЙ ..."
1767250800000.0,2026-01-01 07:00,SHORT,CANCELLED,2.6,0.0,0.0,0.0,10000.0,832.0,0.1,"ГЛАВНЫЙ: Зигзаг (1d). Рассмотрено параллельно: Зигзаг(1d), Двойной Зигзаг (W-X-Y)(1h), Диагональ(1d), Двойной Зигзаг (W-X-Y)(1d). Альтернатива: Двойно..."
1767254400000.0,2026-01-01 08:00,SHORT,CANCELLED,2.6,0.0,0.0,0.0,10000.0,832.0,0.1,"ГЛАВНЫЙ: Зигзаг (1d). Рассмотрено параллельно: Зигзаг(1d), Двойной Зигзаг (W-X-Y)(1h), Диагональ(1d), Двойной Зигзаг (W-X-Y)(1d). Альтернатива: Двойно..."
1767258000000.0,2026-01-01 09:00,SHORT,CANCELLED,2.6,0.0,0.0,0.0,10000.0,832.0,0.1,"ГЛАВНЫЙ: Зигзаг (1d). Рассмотрено параллельно: Зигзаг(1d), Двойной Зигзаг (W-X-Y)(1h), Диагональ(1d), Диагональ(5m). Альтернатива: Двойной Зигзаг (W-X..."
1767261600000.0,2026-01-01 10:00,SHORT,CANCELLED,2.6,0.0,0.0,0.0,10000.0,832.0,0.1,"ГЛАВНЫЙ: Зигзаг (1d). Рассмотрено параллельно: Зигзаг(1d), Двойной Зигзаг (W-X-Y)(1h), Диагональ(1d), Двойной Зигзаг (W-X-Y)(1d). Альтернатива: Двойно..."
1767265200000.0,2026-01-01 11:00,SHORT,CANCELLED,2.6,0.0,0.0,0.0,10000.0,832.0,0.1,"ГЛАВНЫЙ: Зигзаг (1d). Рассмотрено параллельно: Зигзаг(1d), Двойной Зигзаг (W-X-Y)(1h), Диагональ(1d), Диагональ(5m). Альтернатива: Двойной Зигзаг (W-X..."
